행정구역코드,1단계,2단계,3단계,격자 X,격자 Y,경도(시),경도(분),경도(초),위도(시),위도(분),위도(초),경도(초/100),위도(초/100)
1111000000,서울특별시,종로구,,60,127,126,58,53.91,37,34,13.36,126.9816417,37.57037778
1114000000,서울특별시,중구,,60,127,126,59,58.71,37,33,39.61,126.9996417,37.56100278
1117000000,서울특별시,용산구,,60,126,126,58,3.08,37,32,9.94,126.9675222,37.53609444
1120000000,서울특별시,성동구,,61,127,127,2,20.4,37,33,38.2,127.039,37.56061111
1121500000,서울특별시,광진구,,62,126,127,5,4.32,37,32,8.66,127.0845333,37.53573889
1123000000,서울특별시,동대문구,,61,127,127,2,31.71,37,34,17.85,127.0421417,37.571625
1126000000,서울특별시,중랑구,,62,128,127,5,41.2,37,36,13.7,127.0947778,37.60380556
1129000000,서울특별시,성북구,,61,127,127,1,13.2,37,35,10.98,127.0203333,37.58638333
1130500000,서울특별시,강북구,,61,128,127,1,39.79,37,38,13.04,127.0277194,37.63695556
1132000000,서울특별시,도봉구,,61,129,127,2,58.28,37,39,57,127.0495222,37.66583333
1135000000,서울특별시,노원구,,61,129,127,3,30.2,37,39,5.26,127.0583889,37.65146111
1138000000,서울특별시,은평구,,59,127,126,55,52.47,37,35,59.89,126.9312417,37.59996944
1141000000,서울특별시,서대문구,,59,127,126,56,20.03,37,34,34.92,126.9388972,37.57636667
1144000000,서울특별시,마포구,,59,127,126,54,37.91,37,33,38.54,126.9105306,37.56070556
1147000000,서울특별시,양천구,,58,126,126,52,7.35,37,30,51.23,126.8687083,37.51423056
1150000000,서울특별시,강서구,,58,126,126,51,6.03,37,32,53.36,126.851675,37.54815556
1153000000,서울특별시,구로구,,58,125,126,53,22.55,37,29,33.54,126.8895972,37.49265
1154500000,서울특별시,금천구,,59,124,126,54,15.11,37,26,56.79,126.9041972,37.44910833
1156000000,서울특별시,영등포구,,58,126,126,53,54.03,37,31,25,126.8983417,37.52361111
1159000000,서울특별시,동작구,,59,125,126,56,29.67,37,30,34.76,126.941575,37.50965556
1162000000,서울특별시,관악구,,59,125,126,57,13.84,37,28,31.39,126.9538444,37.47538611
1165000000,서울특별시,서초구,,61,125,127,2,5.32,37,28,50.83,127.0348111,37.48078611
1168000000,서울특별시,강남구,,61,126,127,2,58.4,37,30,52.47,127.0495556,37.514575
1171000000,서울특별시,송파구,,62,126,127,6,28.55,37,30,42.32,127.1079306,37.51175556
1174000000,서울특별시,강동구,,62,126,127,7,33.11,37,31,38.52,127.1258639,37.52736667
2611000000,부산광역시,중구,,97,74,129,2,4.23,35,6,11.58,129.0345083,35.10321667
2614000000,부산광역시,서구,,97,74,129,1,34.96,35,5,41.41,129.0263778,35.09483611
2617000000,부산광역시,동구,,98,75,129,3,33.03,35,8,9.22,129.059175,35.13589444
2620000000,부산광역시,영도구,,98,74,129,4,12.67,35,5,17.22,129.0701861,35.08811667
2623000000,부산광역시,부산진구,,97,75,129,3,19.15,35,9,35.83,129.0553194,35.15995278
2626000000,부산광역시,동래구,,98,76,129,5,9.08,35,12,6.74,129.0858556,35.20187222
2629000000,부산광역시,남구,,98,75,129,5,11.4,35,8,0.27,129.0865,35.13340833
2632000000,부산광역시,북구,,96,76,128,59,32.91,35,11,39.05,128.992475,35.19418056
2635000000,부산광역시,해운대구,,99,75,129,9,56.91,35,9,36.07,129.1658083,35.16001944
2638000000,부산광역시,사하구,,96,74,128,58,37.35,35,6,5.14,128.9770417,35.10142778
2641000000,부산광역시,금정구,,98,77,129,5,39.55,35,14,24.28,129.0943194,35.24007778
2644000000,부산광역시,강서구,,96,76,128,58,58.47,35,12,32.99,128.9829083,35.20916389
2647000000,부산광역시,연제구,,98,76,129,4,55.47,35,10,23.47,129.082075,35.17318611
2650000000,부산광역시,수영구,,99,75,129,6,55.35,35,8,32.88,129.115375,35.14246667
2653000000,부산광역시,사상구,,96,75,128,59,36,35,8,58.08,128.9933333,35.14946667
2671000000,부산광역시,기장군,,100,77,129,13,28.11,35,14,28.86,129.224475,35.24135
2711000000,대구광역시,중구,,89,90,128,36,30.23,35,51,58.63,128.6083972,35.86628611
2714000000,대구광역시,동구,,90,91,128,38,15.76,35,53,1.02,128.6377111,35.88361667
2717000000,대구광역시,서구,,88,90,128,33,41.08,35,52,7.66,128.5614111,35.86879444
2720000000,대구광역시,남구,,89,90,128,35,59.28,35,50,34.72,128.5998,35.84297778
2723000000,대구광역시,북구,,89,91,128,35,6.08,35,52,57.72,128.5850222,35.8827
2726000000,대구광역시,수성구,,89,90,128,37,58.32,35,51,18.75,128.6328667,35.85520833
2729000000,대구광역시,달서구,,88,90,128,32,6.23,35,49,36.94,128.5350639,35.82692778
2771000000,대구광역시,달성군,,86,88,128,25,59.79,35,46,18.05,128.433275,35.77168056
2772000000,대구광역시,군위군,,88,99,128,34,30.28,36,14,23.99,128.5750778,36.23999722
2811000000,인천광역시,중구,,54,125,126,37,24.84,37,28,15.36,126.6235667,37.47093333
2814000000,인천광역시,동구,,54,125,126,38,43.32,37,28,15.73,126.6453667,37.47103611
2817700000,인천광역시,미추홀구,,54,124,126,39,9.67,37,27,38.45,126.6526861,37.46068056
2818500000,인천광역시,연수구,,55,123,126,40,49.59,37,24,25.64,126.6804417,37.40712222
2820000000,인천광역시,남동구,,56,124,126,44,1.67,37,26,40.27,126.7337972,37.44451944
2823700000,인천광역시,부평구,,55,125,126,43,26.76,37,30,15.36,126.7241,37.50426667
2824500000,인천광역시,계양구,,56,126,126,44,23.11,37,32,5.25,126.7397528,37.53479167
2826000000,인천광역시,서구,,55,126,126,40,41.52,37,32,33.69,126.6782,37.54269167
2871000000,인천광역시,강화군,,51,130,126,29,24,37,44,37.89,126.49,37.74385833
2872000000,인천광역시,옹진군,,54,124,126,38,20,37,26,37.41,126.6388889,37.443725
2911000000,광주광역시,동구,,60,74,126,55,30.64,35,8,35.16,126.9251778,35.1431
2914000000,광주광역시,서구,,59,74,126,53,36.28,35,8,58.14,126.8934111,35.14948333
2915500000,광주광역시,남구,,59,73,126,54,36.52,35,7,8.53,126.9101444,35.11903611
2917000000,광주광역시,북구,,59,75,126,54,50.84,35,10,16.05,126.9141222,35.171125
2920000000,광주광역시,광산구,,57,74,126,47,44.84,35,8,11.14,126.7957889,35.13642778
3011000000,대전광역시,동구,,68,100,127,26,5.47,36,19,26.88,127.4348528,36.32413333
3014000000,대전광역시,중구,,68,100,127,25,23.2,36,19,21.47,127.4231111,36.32263056
3017000000,대전광역시,서구,,67,100,127,23,8.79,36,21,8.94,127.385775,36.35248333
3020000000,대전광역시,유성구,,67,101,127,21,30.03,36,21,33.72,127.3583417,36.35936667
3023000000,대전광역시,대덕구,,68,100,127,25,3.67,36,20,37.66,127.4176861,36.34379444
3111000000,울산광역시,중구,,102,84,129,20,5.55,35,33,58.83,129.334875,35.56634167
3114000000,울산광역시,남구,,102,84,129,19,56.59,35,32,26.75,129.3323861,35.54076389
3117000000,울산광역시,동구,,104,83,129,25,8.23,35,30,6.8,129.4189528,35.50188889
3120000000,울산광역시,북구,,103,85,129,21,48.76,35,34,46.88,129.3635444,35.57968889
3171000000,울산광역시,울주군,,101,84,129,17,49.79,35,31,50.66,129.2971639,35.53073889
3611000000,세종특별자치시,세종특별자치시,,66,103,127,17,20.65,36,28,48.04,127.2890691,36.4800121
4111100000,경기도,수원시 장안구,,60,121,127,0,44,37,18,3.64,127.0122222,37.30101111
4111300000,경기도,수원시 권선구,,60,120,126,58,26.67,37,15,17.04,126.974075,37.25473333
4111500000,경기도,수원시 팔달구,,61,121,127,2,16.2,37,16,59.17,127.0378333,37.28310278
4111700000,경기도,수원시 영통구,,61,120,127,2,55.08,37,15,22.72,127.0486333,37.25631111
4113100000,경기도,성남시 수정구,,63,124,127,8,51.79,37,26,50.97,127.1477194,37.44749167
4113300000,경기도,성남시 중원구,,63,124,127,8,21.91,37,25,39.61,127.1394194,37.42766944
4113500000,경기도,성남시 분당구,,62,123,127,7,15.67,37,22,47.89,127.1210194,37.37996944
4115000000,경기도,의정부시,,61,130,127,2,9.03,37,44,7.04,127.0358417,37.73528889
4117100000,경기도,안양시 만안구,,59,123,126,56,4.2,37,23,1.6,126.9345,37.38377778
4117300000,경기도,안양시 동안구,,59,123,126,57,12.08,37,23,22.92,126.9533556,37.3897
4119200000,경기도,부천시 원미구,,57,125,126,47,13.18928,37,29,47.73308,126.786997,37.49659252
4119400000,경기도,부천시 소사구,,57,125,126,47,59.78855,37,28,48.13999,126.7999413,37.48003888
4119600000,경기도,부천시 오정구,,57,126,126,47,44.92713,37,31,42.05338,126.7958131,37.52834816
4121000000,경기도,광명시,,58,125,126,52,0.15,37,28,32.7,126.8667083,37.47575
4122000000,경기도,평택시,,62,114,127,6,52.76,36,59,21.98,127.1146556,36.98943889
4125000000,경기도,동두천시,,61,134,127,3,45.55,37,54,3.3,127.0626528,37.90091667
4127100000,경기도,안산시 상록구,,58,121,126,50,48.55,37,17,54.67,126.8468194,37.29851944
4127300000,경기도,안산시 단원구,,57,121,126,48,51.91,37,19,0.22,126.8144194,37.31672778
4128100000,경기도,고양시 덕양구,,57,128,126,50,3.11,37,38,4.5,126.8341972,37.63458333
4128500000,경기도,고양시 일산동구,,56,129,126,46,37.4,37,39,21.27,126.7770556,37.65590833
4128700000,경기도,고양시 일산서구,,56,129,126,45,10,37,40,20.95,126.7527778,37.67248611
4129000000,경기도,과천시,,60,124,126,59,23.28,37,25,34.94,126.9898,37.42637222
4131000000,경기도,구리시,,62,127,127,7,54.71,37,35,29.85,127.1318639,37.591625
4136000000,경기도,남양주시,,64,128,127,13,7.08,37,37,59.44,127.2186333,37.63317778
4137000000,경기도,오산시,,62,118,127,4,46.71,37,8,48.89,127.0796417,37.14691389
4139000000,경기도,시흥시,,57,123,126,48,18.28,37,22,38.35,126.8050778,37.37731944
4141000000,경기도,군포시,,59,122,126,56,15,37,21,31.17,126.9375,37.35865833
4143000000,경기도,의왕시,,60,122,126,58,13.4,37,20,31.02,126.9703889,37.34195
4145000000,경기도,하남시,,64,126,127,13,1.2,37,32,11.39,127.217,37.53649722
4146100000,경기도,용인시 처인구,,64,119,127,12,13.84,37,13,53.32,127.2038444,37.23147778
4146300000,경기도,용인시 기흥구,,62,120,127,7,0.44,37,16,39.35,127.1167889,37.27759722
4146500000,경기도,용인시 수지구,,62,121,127,6,0.35,37,19,9.79,127.1000972,37.31938611
4148000000,경기도,파주시,,56,131,126,46,55.03,37,45,25.5,126.7819528,37.75708333
4150000000,경기도,이천시,,68,121,127,26,35.59,37,16,31.57,127.4432194,37.27543611
4155000000,경기도,안성시,,65,115,127,16,54.64,37,0,18.63,127.2818444,37.005175
4157000000,경기도,김포시,,55,128,126,43,4,37,36,44.85,126.7177778,37.61245833
4159000000,경기도,화성시,,57,119,126,50,0.71,37,11,48.54,126.8335306,37.19681667
4161000000,경기도,광주시,,65,123,127,15,28.03,37,24,52.22,127.2577861,37.41450556
4163000000,경기도,양주시,,61,131,127,2,52.15,37,46,56.82,127.0478194,37.78245
4165000000,경기도,포천시,,64,134,127,12,8.71,37,53,31.76,127.2024194,37.89215556
4167000000,경기도,여주시,,71,121,127,38,22.64,37,17,43.29,127.6396222,37.29535833
4180000000,경기도,연천군,,61,138,127,4,37.44,38,5,36.11,127.0770667,38.09336389
4182000000,경기도,가평군,,69,133,127,30,42.4,37,49,43.79,127.5117778,37.82883056
