SIDO_NM,SGG_NM,ITS_BRO_NM,In/Out_Type(1/0),SEASON_SPRING,SEASON_SUMMER,SEASON_AUTUMN,SEASON_WINTER,레저/스포츠,전통/역사,감성/체험거리,조망/전망,자연물,문화시설감상,자연_조망_결합,자연_역사_결합,자연_레저_결합,자연_체험_결합,역사_문화_결합,레저_체험_결합,조망_체험_결합,조망_역사_결합,cluster
충청남도,금산군,금산세계인삼축제,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
충청북도,충주시,충주온천사우나,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
충청북도,증평군,증평인삼골축제,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
전북특별자치도,군산시,초원사진관,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
경기도,수원시 팔달구,수원역로데오거리,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
전북특별자치도,정읍시,정읍구절초꽃축제,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
경상북도,김천시,김천온천니아,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
경상북도,울진군,덕구온천스파월드,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
전라남도,신안군,섬겨울꽃축제,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
경기도,양평군,양평빙어축제,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
부산광역시,연제구,부산시청들락날락,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
인천광역시,중구,월미도,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
인천광역시,계양구,키위스파랜드,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
경상남도,거제시,거제해수보양온천,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
경기도,양평군,양평빙송어축제,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
경기도,수원시 장안구,정자동중심상가,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
전라남도,장성군,장성황룡강홍길동무꽃길축제,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
전북특별자치도,정읍시,정읍벚꽃축제,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
경기도,연천군,동막골유황천,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
경상북도,상주시,상주곶감축제,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
경상남도,하동군,하동북천코스모스메밀꽃축제,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
전북특별자치도,정읍시,허브원라벤더&코스모스축제,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
경상북도,문경시,문경종합온천,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
전라남도,강진군,금곡사벚꽃삼십리길축제,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
전라남도,고흥군,고흥유자축제,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
강원특별자치도,양양군,오색온천,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
강원특별자치도,횡성군,횡성한우축제,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
경상남도,합천군,고스트파크어웨이크,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
경상북도,영주시,영주온천랜드,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
경상북도,포항시 남구,구룡포일본인가옥거리,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
대전광역시,동구,대청호벚꽃축제,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
경상남도,산청군,지리산산청곶감축제,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
경상남도,거제시,거제정글돔,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
경상남도,거창군,가조온천관광지,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
인천광역시,남동구,로데오거리,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
경상남도,창원시 마산합포구,마산가고파국화축제,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
전라남도,보성군,율포해수녹차온천탕,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
충청북도,충주시,능암온천랜드,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
전라남도,담양군,담양온천,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
전북특별자치도,장수군,장수온천,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
전북특별자치도,장수군,레드푸드페스티벌,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
전북특별자치도,김제시,김제지평선축제,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
서울특별시,마포구,홍대클럽거리,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
강원특별자치도,평창군,평창송어축제,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
전라남도,나주시,나주영산강축제,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
경상남도,하동군,하동북천꽃양귀비축제,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
경상북도,안동시,안동학가산온천,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
경기도,안성시,웰컴투동막골안성빙어축제,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
경상북도,성주군,성주별고을온천,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
경기도,부천시 원미구,원미산진달래축제,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
전북특별자치도,진안군,진안홍삼스파,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
경상북도,상주시,명주테마공원,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
경상북도,의성군,의성산수유마을꽃맞이행사,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
충청북도,영동군,대한민국와인축제,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
경상남도,창원시 의창구,창원의집,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
부산광역시,동래구,허심청,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
충청남도,태안군,태안세계튤립꽃박람회,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
경상북도,청도군,청도용암웰빙스파,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
전라남도,화순군,도곡온천단지,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
충청남도,예산군,덕산싸이판온천,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
충청남도,홍성군,홍성남당항새조개축제,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
전북특별자치도,순창군,순창장류축제,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
충청북도,청주시 상당구,용암광장,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
경기도,이천시,이천설봉온천랜드,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
경상남도,창녕군,부곡온천,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
충청북도,청주시 흥덕구,운리단길,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
충청북도,제천시,청풍호벚꽃축제,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
강원특별자치도,태백시,태백해바라기축제,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
